kode_kabko,nama_kabko,kode_provinsi
1101,Kab. Aceh Selatan,11
1102,Kab. Aceh Tenggara,11
1103,Kab. Aceh Timur,11
1104,Kab. Aceh Tengah,11
1105,Kab. Aceh Barat,11
1106,Kab. Aceh Besar,11
1107,Kab. Pidie,11
1108,Kab. Aceh Utara,11
1109,Kab. Simeulue,11
1110,Kab. Aceh Singkil,11
1111,Kab. Bireuen,11
1112,Kab. Aceh Barat Daya,11
1113,Kab. Gayo Lues,11
1114,Kab. Aceh Jaya,11
1115,Kab. Nagan Raya,11
1116,Kab. Aceh Tamiang,11
1117,Kab. Bener Meriah,11
1118,Kab. Pidie Jaya,11
1171,Banda Aceh,11
1172,Kota Sabang,11
1173,Kota Lhokseumawe,11
1174,Kota Langsa,11
1175,Kota Subulussalam,11
1201,Kab. Tapanuli Tengah,12
1202,Kab. Tapanuli Utara,12
1203,Kab. Tapanuli Selatan,12
1204,Kab. Nias,12
1205,Kab. Langkat,12
1206,Kab. Karo,12
1207,Kab. Deli Serdang,12
1208,Kab. Simalungun,12
1209,Kab. Asahan,12
1210,Kab. Labuhanbatu,12
1211,Kab. Dairi,12
1212,Kab. Toba Samosir,12
1213,Kab. Mandailing Natal,12
1214,Kab. Nias Selatan,12
1215,Kab. Pakpak Bharat,12
1216,Kab. Humbang Hasundutan,12
1217,Kab. Samosir,12
1218,Kab. Serdang Bedagai,12
1219,Kab. Batu Bara,12
1220,Kab. Padang Lawas Utara,12
1221,Kab. Padang Lawas,12
1222,Kab. Labuhanbatu Selatan,12
1223,Kab. Labuhanbatu Utara,12
1224,Kab. Nias Utara,12
1225,Kab. Nias Barat,12
1271,Kota Medan,12
1272,Kota Pematangsiantar,12
1273,Kota Sibolga,12
1274,Kota Tanjung Balai,12
1275,Kota Binjai,12
1276,Kota Tebing Tinggi,12
1277,Kota Padang Sidempuan,12
1278,Kota Gunungsitoli,12
1301,Kab. Pesisir Selatan,13
1302,Kab. Solok,13
1303,Kab. Sijunjung,13
1304,Kab. Tanah Datar,13
1305,Kab. Padang Pariaman,13
1306,Kab. Agam,13
1307,Kab. Lima Puluh Kota,13
1308,Kab. Pasaman,13
1309,Kab. Kepulauan Mentawai,13
1310,Kab. Dharmasraya,13
1311,Kab. Solok Selatan,13
1312,Kab. Pasaman Barat,13
1371,Kota Padang,13
1372,Kota Solok,13
1373,Kota Sawahlunto,13
1374,Kota Padang Panjang,13
1375,Kota Bukittinggi,13
1376,Kota Payakumbuh,13
1377,Kota Pariaman,13
1401,Kab. Kampar,14
1402,Kab. Indragiri Hulu,14
1403,Kab. Bengkalis,14
1404,Kab. Indragiri Hilir,14
1405,Kab. Pelalawan,14
1406,Kab. Rokan Hulu,14
1407,Kab. Rokan Hilir,14
1408,Kab. Siak,14
1409,Kab. Kuantan Singingi,14
1410,Kab. Kepulauan Meranti,14
1471,Kota Pekanbaru,14
1472,Kota Dumai,14
1501,Kab. Kerinci,15
1502,Kab. Merangin,15
1503,Kab. Sarolangun,15
1504,Kab. Batanghari,15
1505,Kab. Muaro Jambi,15
1506,Kab. Tanjung Jabung Barat,15
1507,Kab. Tanjung Jabung Timur,15
1508,Kab. Bungo,15
1509,Kab. Tebo,15
1571,Kota Jambi,15
1572,Kota Sungai Penuh,15
1601,Kab. Ogan Komering Ulu,16
1602,Kab. Ogan Komering Ilir,16
1603,Kab. Muara Enim,16
1604,Kab. Lahat,16
1605,Kab. Musi Rawas,16
1606,Kab. Musi Banyuasin,16
1607,Kab. Banyuasin,16
1608,Kab. Ogan Komering Ulu  Timur,16
1609,Kab. Ogan Komering Ulu  Selatan,16
1610,Kab. Ogan Ilir,16
1611,Kab. Empat Lawang,16
1612,Kab. Penukal Abab Lematang  Ilir,16
1613,Kab. Musi Rawas Utara,16
1671,Kota Palembang,16
1672,Kota Pagar Alam,16
1673,Kota Lubuk Linggau,16
1674,Kota Prabumulih,16
1701,Kab. Bengkulu Selatan,17
1702,Kab. Rejang Lebong,17
1703,Kab. Bengkulu Utara,17
1704,Kab. Kaur,17
1705,Kab. Seluma,17
1706,Kab. Muko Muko,17
1707,Kab. Lebong,17
1708,Kab. Kepahiang,17
1709,Kab. Bengkulu Tengah,17
1771,Kota Bengkulu,17
1801,Kab. Lampung Selatan,18
1802,Kab. Lampung Tengah,18
1803,Kab. Lampung Utara,18
1804,Kab. Lampung Barat,18
1805,Kab. Tulang Bawang,18
1806,Kab. Tanggamus,18
1807,Kab. Lampung Timur,18
1808,Kab. Way Kanan,18
1809,Kab. Pesawaran,18
1810,Kab. Pringsewu,18
1811,Kab. Mesuji,18
1812,Kab. Tulang Bawang Barat,18
1813,Kab. Pesisir Barat,18
1871,Kota Bandar Lampung,18
1872,Kota Metro,18
1901,Kab. Bangka,19
1902,Kab. Belitung,19
1903,Kab. Bangka Selatan,19
1904,Kab. Bangka Tengah,19
1905,Kab. Bangka Barat,19
1906,Kab. Belitung Timur,19
1971,Kota Pangkal Pinang,19
2101,Kab. Bintan,21
2102,Kab. Karimun,21
2103,Kab. Natuna,21
2104,Kab. Lingga,21
2105,Kab. Kepulauan Anambas,21
2171,Kota Batam,21
2172,Kota Tanjung Pinang,21
3101,Kab. Adm. Kep. Seribu,31
3171,Kota Adm. Jakarta Pusat,31
3172,Kota Adm. Jakarta Utara,31
3173,Kota Adm. Jakarta Barat,31
3174,Kota Adm. Jakarta Selatan,31
3175,Kota Adm. Jakarta Timur,31
3201,Kab. Bogor,32
3202,Kab. Sukabumi,32
3203,Kab. Cianjur,32
3204,Kab. Bandung,32
3205,Kab. Garut,32
3206,Kab. Tasikmalaya,32
3207,Kab. Ciamis,32
3208,Kab. Kuningan,32
3209,Kab. Cirebon,32
3210,Kab. Majalengka,32
